Date,egg_price,egg_production,egg_shipment,egg_recipt,chick_count,farmer_price,wholesale_price,retail_price,household_consumption_per_man,egg_import,chick_feed_shipment,chicken_feed_shipment,feed_price
1989/1,162,,,,,,,,,,,,
1989/2,156,,,,,,,,,,,,
1989/3,172,,,,,,,,,,,,
1989/4,152,,,,,,,,,,,,
1989/5,161,,,,,,,,,,,,
1989/6,186,,,,,,,,,,,,
1989/7,185,,,,,,,,,,,,
1989/8,164,,,,,,,,,,,,
1989/9,237,,,,,,,,,,,,
1989/10,228,,,,,,,,,,,,
1989/11,251,,,,,,,,,,,,
1989/12,238,,,,,,,,,,,,
1990/1,176,,,,,,,,,,,,
1990/2,233,,,,,,,,,,,,
1990/3,194,,,,,,,,,,,,
1990/4,187,,,,,,,,,,,,
1990/5,203,,,,,,,,,,,,
1990/6,182,,,,,,,,,,,,
1990/7,180,,,,,,,,,,,,
1990/8,218,,,,,,,,,,,,
1990/9,261,,,,,,,,,,,,
1990/10,260,,,,,,,,,,,,
1990/11,293,,,,,,,,,,,,
1990/12,283,,,,,,,,,,,,
1991/1,247,,,,,,,,,,,,
1991/2,298,,,,,,,,,,,,
1991/3,335,,,,,,,,,,,,
1991/4,248,,,,,,,,,,,,
1991/5,233,,,,,,,,,,,,
1991/6,210,,,,,,,,,,,,
1991/7,201,,,,,,,,,,,,
1991/8,212,,,,,,,,,,,,
1991/9,238,,,,,,,,,,,,
1991/10,266,,,,,,,,,,,,
1991/11,248,,,,,,,,,,,,
1991/12,237,,,,,,,,,,,,
1992/1,155,,,,,,,,,,,,
1992/2,190,,,,,,,,,,,,
1992/3,170,,,,,,,,,,,,
1992/4,151,,,,,,,,,,,,
1992/5,146,,,,,,,,,,,,
1992/6,144,,,,,,,,,,,,
1992/7,137,,,,,,,,,,,,
1992/8,137,,,,,,,,,,,,
1992/9,180,,,,,,,,,,,,
1992/10,195,,,,,,,,,,,,
1992/11,187,,,,,,,,,,,,
1992/12,201,,,,,,,,,,,,
1993/1,150,,,,,,,,,,,,
1993/2,196,,,,,,,,,,,,
1993/3,154,,,,,,,,,,,,
1993/4,162,,,,,,,,,,,,
1993/5,166,,,,,,,,,,,,
1993/6,155,,,,,,,,,,,,
1993/7,138,,,,,,,,,,,,
1993/8,138,,,,,,,,,,,,
1993/9,156,,,,,,,,,,,,
1993/10,180,,,,,,,,,,,,
1993/11,160,,,,,,,,,,,,
1993/12,171,,,,,,,,,,,,
1994/1,140,,,,,,,,,,,,
1994/2,194,,,,,,,,,,,,
1994/3,210,,,,,,,,,,,,
1994/4,166,,,,,,,,,,,,
1994/5,140,,,,,,,,,,,,
1994/6,134,,,,,,,,,,,,
1994/7,128,,,,,,,,,,,,
1994/8,145,,,,,,,,,,,,
1994/9,198,,,,,,,,,,,,
1994/10,187,,,,,,,,,,,,
1994/11,181,,,,,,,,,,,,
1994/12,219,,,,,,,,,,,,
1995/1,175,,,,,,,,,,,,
1995/2,190,,,,,,,,,,,,
1995/3,180,,,,,,,,,,,,
1995/4,170,,,,,,,,,,,,
1995/5,156,,,,,,,,,,,,
1995/6,149,,,,,,,,,,,,
1995/7,147,,,,,,,,,,,,
1995/8,149,,,,,,,,,,,,
1995/9,227,,,,,,,,,,,,
1995/10,211,,,,,,,,,,,,
1995/11,208,,,,,,,,,,,,
1995/12,248,,,,,,,,,,,,
1996/1,190,,,,,,,,,,,,
1996/2,221,,,,,,,,,,,,
1996/3,224,,,,,,,,,,,,
1996/4,187,,,,,,,,,,,,
1996/5,182,,,,,,,,,,,,
1996/6,164,,,,,,,,,,,,
1996/7,162,,,,,,,,,,,,
1996/8,166,,,,,,,,,,,,
1996/9,221,,,,,,,,,,,,
1996/10,218,,,,,,,,,,,,
1996/11,213,,,,,,,,,,,,
1996/12,266,,,,,,,,,,,,
1997/1,179,,,,,,,,,,,,
1997/2,228,,,,,,,,,,,,
1997/3,220,,,,,,,,,,,,
1997/4,194,,,,,,,,,,,,
1997/5,185,,,,,,,,,,,,
1997/6,174,,,,,,,,,,,,
1997/7,168,,,,,,,,,,,,
1997/8,173,,,,,,,,,,,,
1997/9,217,,,,,,,,,,,,
1997/10,219,,,,,,,,,,,,
1997/11,217,,,,,,,,,,,,
1997/12,219,,,,,,,,,,,,
